date_id,release_date,year,month
750,2012-12-18,2012,12
751,2012-12-19,2012,12
752,2013-01-07,2013,1
753,2013-01-08,2013,1
754,2013-01-09,2013,1
755,2013-01-10,2013,1
756,2013-01-15,2013,1
757,2013-01-16,2013,1
758,2013-01-23,2013,1
759,2013-01-24,2013,1
760,2013-01-25,2013,1
761,2013-01-30,2013,1
762,2013-01-31,2013,1
763,2013-02-01,2013,2
764,2013-02-06,2013,2
765,2013-02-12,2013,2
766,2013-02-14,2013,2
767,2013-02-18,2013,2
768,2013-02-19,2013,2
769,2013-02-21,2013,2
770,2013-02-22,2013,2
771,2013-02-26,2013,2
772,2013-02-27,2013,2
773,2013-02-28,2013,2
774,2013-03-08,2013,3
775,2013-03-11,2013,3
776,2013-03-13,2013,3
777,2013-03-14,2013,3
778,2013-03-18,2013,3
779,2013-03-19,2013,3
780,2013-03-20,2013,3
781,2013-03-21,2013,3
782,2013-03-22,2013,3
783,2013-03-25,2013,3
784,2013-03-28,2013,3
785,2013-04-02,2013,4
786,2013-04-03,2013,4
787,2013-04-04,2013,4
788,2013-04-05,2013,4
789,2013-04-08,2013,4
790,2013-04-10,2013,4
791,2013-04-12,2013,4
792,2013-04-15,2013,4
793,2013-04-16,2013,4
794,2013-04-18,2013,4
795,2013-04-19,2013,4
796,2013-04-23,2013,4
797,2013-04-24,2013,4
798,2013-04-25,2013,4
799,2013-04-26,2013,4
800,2013-04-29,2013,4
801,2013-04-30,2013,4
802,2013-05-01,2013,5
803,2013-05-02,2013,5
804,2013-05-09,2013,5
805,2013-05-13,2013,5
806,2013-05-14,2013,5
807,2013-05-15,2013,5
808,2013-05-16,2013,5
809,2013-05-17,2013,5
810,2013-05-20,2013,5
811,2013-05-22,2013,5
812,2013-05-23,2013,5
813,2013-05-24,2013,5
814,2013-05-28,2013,5
815,2013-05-29,2013,5
816,2013-05-30,2013,5
817,2013-06-03,2013,6
818,2013-06-05,2013,6
819,2013-06-06,2013,6
820,2013-06-07,2013,6
821,2013-06-18,2013,6
822,2013-06-20,2013,6
823,2013-06-21,2013,6
824,2013-06-24,2013,6
825,2013-06-25,2013,6
826,2013-06-27,2013,6
827,2013-06-28,2013,6
828,2013-07-01,2013,7
829,2013-07-02,2013,7
830,2013-07-03,2013,7
831,2013-07-04,2013,7
832,2013-07-08,2013,7
833,2013-07-09,2013,7
834,2013-07-11,2013,7
835,2013-07-23,2013,7
836,2013-07-24,2013,7
837,2013-07-25,2013,7
838,2013-07-29,2013,7
839,2013-07-31,2013,7
840,2013-08-06,2013,8
841,2013-08-07,2013,8
842,2013-08-08,2013,8
843,2013-08-09,2013,8
844,2013-08-12,2013,8
845,2013-08-13,2013,8
846,2013-08-15,2013,8
847,2013-08-19,2013,8
848,2013-08-20,2013,8
849,2013-08-22,2013,8
850,2013-08-23,2013,8
851,2013-08-26,2013,8
852,2013-08-27,2013,8
853,2013-08-28,2013,8
854,2013-08-29,2013,8
855,2013-09-02,2013,9
856,2013-09-03,2013,9
857,2013-09-04,2013,9
858,2013-09-05,2013,9
859,2013-09-06,2013,9
860,2013-09-10,2013,9
861,2013-09-12,2013,9
862,2013-09-13,2013,9
863,2013-09-16,2013,9
864,2013-09-18,2013,9
865,2013-09-19,2013,9
866,2013-09-20,2013,9
867,2013-09-24,2013,9
868,2013-09-26,2013,9
869,2013-09-27,2013,9
870,2013-10-01,2013,10
871,2013-10-02,2013,10
872,2013-10-03,2013,10
873,2013-10-04,2013,10
874,2013-10-07,2013,10
875,2013-10-08,2013,10
876,2013-10-09,2013,10
877,2013-10-10,2013,10
878,2013-10-11,2013,10
879,2013-10-14,2013,10
880,2013-10-15,2013,10
881,2013-10-16,2013,10
882,2013-10-17,2013,10
883,2013-10-18,2013,10
884,2013-10-21,2013,10
885,2013-10-22,2013,10
886,2013-10-23,2013,10
887,2013-10-24,2013,10
888,2013-10-25,2013,10
889,2013-10-28,2013,10
890,2013-10-29,2013,10
891,2013-10-30,2013,10
